zipcode,year,month,volume
10475.0,2015,3,4615
10475.0,2019,4,21860
10475.0,2021,6,51831
11004.0,2012,12,337
11004.0,2016,11,43
11005.0,2011,6,126161
11005.0,2013,6,1216
11005.0,2015,5,42
11005.0,2017,6,1140
11101.0,2008,3,27847
11101.0,2008,4,21033
11101.0,2009,5,2643
11101.0,2010,2,414
11101.0,2010,8,48143
11101.0,2010,9,49370
11101.0,2012,1,7449
11101.0,2012,4,148921
11101.0,2012,6,171033
11101.0,2013,2,65148
11101.0,2013,3,7924
11101.0,2013,4,272035
11101.0,2013,6,25995
11101.0,2014,3,1801
11101.0,2014,7,120808
11101.0,2015,4,0
11101.0,2015,5,101519
11101.0,2015,6,31898
11101.0,2015,10,340013
11101.0,2015,12,1495
11101.0,2016,2,1994
11101.0,2016,3,47257
11101.0,2016,6,44664
11101.0,2017,2,22514
11101.0,2017,3,33091
11101.0,2017,4,5169
11101.0,2018,2,95660
11101.0,2018,5,153424
11101.0,2019,1,13291
11101.0,2019,2,9573
11101.0,2019,3,61700
11101.0,2019,4,124085
11101.0,2019,5,87656
11101.0,2019,11,164541
11101.0,2021,4,336832
11101.0,2021,5,46161
11101.0,2022,2,47933
11101.0,2022,6,58108
11101.0,2024,3,220691
11102.0,2011,11,1978
11102.0,2012,6,111918
11102.0,2012,7,229418
11102.0,2014,10,10945
11102.0,2016,7,16937
11102.0,2017,3,37518
11102.0,2019,11,2519
11103.0,2009,5,5555
11103.0,2009,6,124
11103.0,2013,1,19758
11103.0,2020,2,144331
11103.0,2020,3,21650
11104.0,2017,2,866
11104.0,2019,5,21951
11105.0,2011,1,21
11105.0,2013,1,20705
11105.0,2014,10,3243
11105.0,2017,6,12710
11105.0,2020,2,231922
11105.0,2020,3,24566
11105.0,2023,8,12889
11106.0,2009,3,28144
11106.0,2010,2,242
11106.0,2011,11,76809
11106.0,2012,3,112054
11106.0,2012,4,18588
11106.0,2012,11,248
11106.0,2014,10,25665
11106.0,2018,2,154597
11106.0,2018,9,14007
11106.0,2019,1,31645
11106.0,2022,4,21006
11106.0,2022,11,54132
11201.0,2009,12,693
11201.0,2010,4,1533
11201.0,2011,2,54798
11201.0,2011,7,53952
11201.0,2011,8,20630
11201.0,2011,9,14790
11201.0,2011,11,8504
11201.0,2012,6,90481
11201.0,2013,3,2258
11201.0,2013,10,6
11201.0,2016,3,19441
11201.0,2016,9,39206
11201.0,2016,10,22434
11201.0,2016,11,8369
11201.0,2019,6,14051
11201.0,2019,10,46540
11201.0,2019,11,62653
11201.0,2020,8,4537
11201.0,2020,9,9879
11201.0,2021,8,534027
11201.0,2021,10,144891
11201.0,2023,10,77754
