TimePeriod,GeoType,GeoID,GeoRank,Geography,Estimated annual number,"Estimated annual rate per 100,000 adults",Unnamed: 7,Zip Codes
2012-2014,UHF42,404,4,Bayside - Little Neck,5,7,0,"11361, 11362, 11363, 11364"
2012-2014,UHF42,405,4,Ridgewood - Forest Hills,20.9,10.7,0,"11375, 11379, 11385"
2012-2014,UHF42,406,4,Fresh Meadows,6.1,8.1,0,"11365, 11366"
2012-2014,UHF42,407,4,Southwest Queens,16.9,8.3,0,"11414, 11415, 11416, 11417, 11418, 11419, 11420, 11421"
2012-2014,UHF42,408,4,Jamaica,21.9,9.8,0,"11412, 11423, 11432, 11433, 11434, 11435, 11436"
2012-2014,UHF42,409,4,Southeast Queens,10.7,6.9,0,"11004, 11005, 11411, 11412, 11413, 11422, 11426, 11427, 11428, 11429"
2012-2014,UHF42,410,4,Rockaways,8.4,10.2,0,"11691, 11692, 11693, 11694, 11697"
2012-2014,UHF42,501,4,Port Richmond,7,14,0,"10302, 10303, 10310"
2012-2014,UHF42,502,4,Stapleton - St. George,15.2,16.2,0,"10301, 10304, 10305"
2012-2014,UHF42,503,4,Willowbrook,9,13.5,0,10314
2012-2014,UHF42,504,4,South Beach - Tottenville,17,11.8,0,"10306, 10307, 10308, 10309, 10312"
2012-2014,Borough,1,1,Bronx,182,18,0,"10451, 10452, 10453, 10454, 10455, 10456, 10457, 10458, 10459, 10460, 10461, 10462, 10463, 10464, 10465, 10466, 10467, 10468, 10469, 10470, 10471, 10472, 10473, 10474, 10475"
2012-2014,Borough,2,1,Brooklyn,222.9,11.5,0,"11201, 11203, 11204, 11205, 11206, 11207, 11208, 11209, 11210, 11211, 11212, 11213, 11214, 11215, 11216, 11217, 11218, 11219, 11220, 11221, 11222, 11223, 11224, 11225, 11226, 11228, 11229, 11230, 11231, 11232, 11233, 11234, 11235, 11236, 11237, 11238, 11239, 11249"
